구,역명,Latitude,Longitude
수원시,망포,37.245807,127.057375
수원시,매교,37.265502,127.015657
수원시,매탄권선,37.2525098,127.0407899
수원시,성균관대,37.588227,126.993606
수원시,세류,37.2441023,127.0137721
수원시,수원,37.2635727,127.0286009
수원시,수원시청,37.261851,127.031121
수원시,영통,37.2594897,127.0466381
수원시,청명,37.2595832,127.0790738
수원시,화서,37.2810423,127.000642
성남시,가천대,37.449602,127.126635
성남시,남한산성입구,37.451548,127.159837
성남시,단대오거리,37.44505,127.156709
성남시,모란,37.432124,127.129064
성남시,미금,37.350078,127.108952
성남시,산성,37.45663,127.15011
성남시,서현,37.384994,127.123402
성남시,수내,37.3713177,127.1223533
성남시,수진,37.4376051,127.1409692
성남시,신흥,37.440956,127.147509
성남시,야탑,37.4078059,127.1430174
성남시,오리,37.339832,127.108985
성남시,이매,37.3945261,127.1325782
성남시,정자,37.3638388,127.1163207
성남시,태평,37.439854,127.128035
성남시,판교,37.4002456,127.1047837
의정부시,가능,37.748362,127.044251
의정부시,녹양,37.7600403,127.0322644
의정부시,망월사,37.7047222,127.0213889
의정부시,의정부,37.738098,127.0336819
의정부시,장암,37.7001237,127.0531803
의정부시,회룡,37.724522,127.0472035
안양시,관악,37.4784063,126.9516133
안양시,명학,37.3900837,126.9305068
안양시,범계,37.389854,126.950627
안양시,석수,36.8091215,127.136856
안양시,안양,37.3942527,126.9568209
안양시,인덕원,37.400807,126.976384
안양시,평촌,37.394346,126.96388
부천시,까치울,37.5062327,126.8113591
부천시,부천,37.5034138,126.7660309
부천시,부천시청,37.503394,126.765962
부천시,부천종합운동장,37.50265,126.798989
부천시,상동,37.5003271,126.7498232
부천시,소사,37.4802924,126.800017
부천시,송내,37.487626,126.753045
부천시,신중동,37.503064,126.775977
부천시,역곡,37.4851398,126.8116223
부천시,중동,37.486664,126.764474
부천시,춘의,37.503722,126.787095
광명시,광명,37.4784878,126.8642888
광명시,광명사거리,37.4793066,126.8546747
광명시,철산,37.4793462,126.8719535
평택시,서정리,37.057003,127.053294
평택시,송탄,37.0841853,127.0514265
평택시,지제,37.018822,127.070269
평택시,진위,37.109771,127.062342
평택시,평택,36.9921075,127.1129451
동두천시,동두천,37.9034112,127.0605075
동두천시,동두천중앙,37.8916075,127.0580358
동두천시,보산,37.914277,127.057158
동두천시,소요산,37.9426296,127.0878091
동두천시,지행,37.892369,127.055757
안산시,고잔,37.3168267,126.8230369
안산시,반월,37.312244,126.903684
안산시,상록수,37.3028447,126.8665333
안산시,신길온천,37.337488,126.767306
안산시,안산,37.3218778,126.8308848
안산시,중앙,37.316055,126.838532
